,Mean,Range Difference,2222,42,43,44,45,46,47,48,49,50
result_H4_py_nt_caduceus.txt,0.8010000000000002,0.009999999999999898,0.799,0.797,0.802,0.8,0.805,0.811,0.793,0.798,0.802,0.803
result_promoter_all_py_nt_caduceus.txt,0.5721,1.5721,0.967,0.966,0.966,0.966,0.965,0.968,0.965,0.958,-1.0,-1.0
result_H4ac_py_nt_caduceus.txt,-0.0379,0.9621,0.636,0.593,0.614,0.61,0.587,0.581,-1.0,-1.0,-1.0,-1.0
